央视高清,#genre#
CCTV-11戏曲,http://121.29.169.227:8888/rtp/239.253.93.153:6321
CCTV-11戏曲,http://121.29.169.26:7777/rtp/239.253.93.153:6321
CCTV-11戏曲,http://121.29.169.26:8888/rtp/239.253.93.153:6321
CCTV-11戏曲,http://121.29.215.203:7777/rtp/239.253.93.153:6321
CCTV-11戏曲,http://121.29.215.203:8888/rtp/239.253.93.153:6321
CCTV-12社会与法,http://121.29.169.138:7777/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.29.169.138:8888/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.29.169.227:7777/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.29.169.227:8888/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.29.169.26:7777/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.29.169.26:8888/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.29.215.203:7777/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.29.215.203:8888/rtp/239.253.92.197:6062
CCTV-13新闻,http://121.29.169.138:7777/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.29.169.138:8888/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.29.169.227:7777/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.29.169.227:8888/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.29.169.26:7777/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.29.169.26:8888/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.29.215.203:7777/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.29.215.203:8888/rtp/239.253.92.13:8008
CCTV-14少儿,http://121.29.169.138:7777/rtp/239.253.92.198:6063
CCTV-14少儿,http://121.29.169.138:8888/rtp/239.253.92.198:6063
CCTV-14少儿,http://121.29.169.227:7777/rtp/239.253.92.198:6063
CCTV-14少儿,http://121.29.169.227:8888/rtp/239.253.92.198:6063
CCTV-14少儿,http://121.29.169.26:7777/rtp/239.253.92.198:6063
CCTV-14少儿,http://121.29.169.26:8888/rtp/239.253.92.198:6063
CCTV-14少儿,http://121.29.215.203:7777/rtp/239.253.92.198:6063
CCTV-14少儿,http://121.29.215.203:8888/rtp/239.253.92.198:6063
CCTV-15音乐,http://121.29.133.109:8888/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.169.138:7777/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.169.138:8888/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.169.227:7777/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.169.227:8888/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.169.26:7777/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.169.26:8888/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.215.203:7777/rtp/239.253.93.154:6322
CCTV-15音乐,http://121.29.215.203:8888/rtp/239.253.93.154:6322
CCTV-17农业农村,http://121.29.133.109:8888/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.169.138:7777/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.169.138:8888/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.169.227:7777/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.169.227:8888/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.169.26:7777/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.169.26:8888/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.215.203:7777/rtp/239.253.93.150:6318
CCTV-17农业农村,http://121.29.215.203:8888/rtp/239.253.93.150:6318
CCTV-4欧洲,http://121.29.133.109:8888/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.169.138:7777/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.169.138:8888/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.169.227:7777/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.169.227:8888/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.169.26:7777/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.169.26:8888/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.215.203:7777/rtp/239.253.93.192:6370
CCTV-4欧洲,http://121.29.215.203:8888/rtp/239.253.93.192:6370
